PERMNO,date,NCUSIP,TICKER,PRC,RET,ewretd,sprtrn
11995,20141215,19109810,COKE,82.66000,-0.022585,-0.011453,-0.006343
11995,20141216,19109810,COKE,83.81000,0.013912,-0.001295,-0.008489
11995,20141217,19109810,COKE,87.20000,0.040449,0.022399,0.020352
11995,20141218,19109810,COKE,88.72000,0.017431,0.014707,0.024015
11995,20141219,19109810,COKE,86.74000,-0.022317,0.005262,0.004570
11995,20141222,19109810,COKE,87.64000,0.010376,0.001511,0.003810
11995,20141223,19109810,COKE,87.74000,0.001141,0.000875,0.001746
11995,20141224,19109810,COKE,88.19000,0.005129,0.002256,-0.000139
11995,20141226,19109810,COKE,88.55000,0.004082,0.004967,0.003310
11995,20141229,19109810,COKE,87.94000,-0.006889,0.000097,0.000862
11995,20141230,19109810,COKE,88.31000,0.004207,-0.001810,-0.004889
11995,20141231,19109810,COKE,88.03000,-0.003171,-0.001032,-0.010311
11995,20150102,19109810,COKE,89.87000,0.020902,0.001468,-0.000340
11995,20150105,19109810,COKE,89.20000,-0.007455,-0.012534,-0.018278
11995,20150106,19109810,COKE,88.59000,-0.006839,-0.010159,-0.008893
11995,20150107,19109810,COKE,89.13000,0.006096,0.008012,0.011630
11995,20150108,19109810,COKE,90.18000,0.011781,0.013099,0.017888
11995,20150109,19109810,COKE,90.22000,0.000444,-0.004114,-0.008404
11995,20150112,19109810,COKE,90.23000,0.000111,-0.004681,-0.008094
11995,20150113,19109810,COKE,91.30000,0.011859,-0.002491,-0.002579
11995,20150114,19109810,COKE,91.60000,0.003286,-0.003886,-0.005813
11995,20150115,19109810,COKE,93.86000,0.024673,-0.010573,-0.009248
11995,20150116,19109810,COKE,95.99000,0.022693,0.012365,0.013424
11995,20150120,19109810,COKE,98.47000,0.025836,-0.003441,0.001550
11995,20150121,19109810,COKE,99.40000,0.009445,0.001029,0.004732
11995,20150122,19109810,COKE,102.85000,0.034708,0.010966,0.015270
11995,20150123,19109810,COKE,104.01000,0.011279,-0.002662,-0.005492
11995,20150126,19109810,COKE,105.07000,0.010191,0.007378,0.002568
11995,20150127,19109810,COKE,103.93000,-0.010850,-0.001498,-0.013388
11995,20150128,19109810,COKE,101.03000,-0.025498,-0.012664,-0.013496
